(.venv) .:AA:. python3 releases/rats/super_rats.py
initial population weights = [262, 323, 316, 219, 459, 387, 491, 315, 265, 554, 503, 511, 308, 281, 392, 378, 372, 311, 323, 308]
initial population fitness = 0.007278
number to retain = 20
Generation 0 fitness = 0.0074
Generation 1 fitness = 0.0087
Generation 2 fitness = 0.0095
Generation 3 fitness = 0.0100
Generation 4 fitness = 0.0104
Generation 5 fitness = 0.0107
Generation 6 fitness = 0.0108
Generation 7 fitness = 0.0109
Generation 8 fitness = 0.0109
Generation 9 fitness = 0.0110
Generation 10 fitness = 0.0110
Generation 11 fitness = 0.0111
Generation 12 fitness = 0.0110
Generation 13 fitness = 0.0110
Generation 14 fitness = 0.0110
Generation 15 fitness = 0.0110
Generation 16 fitness = 0.0112
Generation 17 fitness = 0.0115
Generation 18 fitness = 0.0120
Generation 19 fitness = 0.0123
Generation 20 fitness = 0.0126
Generation 21 fitness = 0.0128
Generation 22 fitness = 0.0129
Generation 23 fitness = 0.0130
Generation 24 fitness = 0.0131
Generation 25 fitness = 0.0131
Generation 26 fitness = 0.0132
Generation 27 fitness = 0.0133
Generation 28 fitness = 0.0135
Generation 29 fitness = 0.0136
Generation 30 fitness = 0.0137
Generation 31 fitness = 0.0138
Generation 32 fitness = 0.0138
Generation 33 fitness = 0.0138
Generation 34 fitness = 0.0139
Generation 35 fitness = 0.0139
Generation 36 fitness = 0.0139
Generation 37 fitness = 0.0139
Generation 38 fitness = 0.0139
Generation 39 fitness = 0.0139
Generation 40 fitness = 0.0140
Generation 41 fitness = 0.0141
Generation 42 fitness = 0.0143
Generation 43 fitness = 0.0147
Generation 44 fitness = 0.0149
Generation 45 fitness = 0.0151
Generation 46 fitness = 0.0152
Generation 47 fitness = 0.0154
Generation 48 fitness = 0.0155
Generation 49 fitness = 0.0160
Generation 50 fitness = 0.0167
Generation 51 fitness = 0.0173
Generation 52 fitness = 0.0177
Generation 53 fitness = 0.0183
Generation 54 fitness = 0.0187
Generation 55 fitness = 0.0190
Generation 56 fitness = 0.0192
Generation 57 fitness = 0.0194
Generation 58 fitness = 0.0192
Generation 59 fitness = 0.0195
Generation 60 fitness = 0.0197
Generation 61 fitness = 0.0203
Generation 62 fitness = 0.0211
Generation 63 fitness = 0.0219
Generation 64 fitness = 0.0222
Generation 65 fitness = 0.0225
Generation 66 fitness = 0.0228
Generation 67 fitness = 0.0227
Generation 68 fitness = 0.0230
Generation 69 fitness = 0.0230
Generation 70 fitness = 0.0230
Generation 71 fitness = 0.0230
Generation 72 fitness = 0.0231
Generation 73 fitness = 0.0235
Generation 74 fitness = 0.0240
Generation 75 fitness = 0.0249
Generation 76 fitness = 0.0254
Generation 77 fitness = 0.0258
Generation 78 fitness = 0.0259
Generation 79 fitness = 0.0262
Generation 80 fitness = 0.0263
Generation 81 fitness = 0.0264
Generation 82 fitness = 0.0264
Generation 83 fitness = 0.0265
Generation 84 fitness = 0.0264
Generation 85 fitness = 0.0265
Generation 86 fitness = 0.0265
Generation 87 fitness = 0.0263
Generation 88 fitness = 0.0263
Generation 89 fitness = 0.0265
Generation 90 fitness = 0.0265
Generation 91 fitness = 0.0265
Generation 92 fitness = 0.0268
Generation 93 fitness = 0.0273
Generation 94 fitness = 0.0278
Generation 95 fitness = 0.0282
Generation 96 fitness = 0.0284
Generation 97 fitness = 0.0287
Generation 98 fitness = 0.0289
Generation 99 fitness = 0.0293
Generation 100 fitness = 0.0304
Generation 101 fitness = 0.0316
Generation 102 fitness = 0.0326
Generation 103 fitness = 0.0331
Generation 104 fitness = 0.0336
Generation 105 fitness = 0.0339
Generation 106 fitness = 0.0341
Generation 107 fitness = 0.0342
Generation 108 fitness = 0.0344
Generation 109 fitness = 0.0345
Generation 110 fitness = 0.0346
Generation 111 fitness = 0.0345
Generation 112 fitness = 0.0347
Generation 113 fitness = 0.0346
Generation 114 fitness = 0.0345
Generation 115 fitness = 0.0347
Generation 116 fitness = 0.0347
Generation 117 fitness = 0.0347
Generation 118 fitness = 0.0347
Generation 119 fitness = 0.0347
Generation 120 fitness = 0.0347
Generation 121 fitness = 0.0352
Generation 122 fitness = 0.0358
Generation 123 fitness = 0.0363
Generation 124 fitness = 0.0368
Generation 125 fitness = 0.0372
Generation 126 fitness = 0.0377
Generation 127 fitness = 0.0380
Generation 128 fitness = 0.0382
Generation 129 fitness = 0.0381
Generation 130 fitness = 0.0387
Generation 131 fitness = 0.0404
Generation 132 fitness = 0.0422
Generation 133 fitness = 0.0435
Generation 134 fitness = 0.0443
Generation 135 fitness = 0.0449
Generation 136 fitness = 0.0454
Generation 137 fitness = 0.0459
Generation 138 fitness = 0.0472
Generation 139 fitness = 0.0491
Generation 140 fitness = 0.0506
Generation 141 fitness = 0.0525
Generation 142 fitness = 0.0544
Generation 143 fitness = 0.0559
Generation 144 fitness = 0.0571
Generation 145 fitness = 0.0585
Generation 146 fitness = 0.0595
Generation 147 fitness = 0.0612
Generation 148 fitness = 0.0627
Generation 149 fitness = 0.0637
Generation 150 fitness = 0.0645
Generation 151 fitness = 0.0649
